Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
United Arab Emirates,0.08208691032623552,0.2509201594775534,0.05138221987226374,0.032093054972881285,-0.00604779301775636,73
Costa Rica,0.0781627540644716,0.43758414432709625,0.2977163718009393,-0.8613473294670972,0.43869782959694814,74
Cote d'Ivoire,0.0749353628344982,-0.9386112402361046,0.3147834598422946,-0.6883482999645856,1.6119175316963883,75
Vietnam,0.07110514495990793,-0.24218158700518624,-1.0409716172555012,1.353957065186148,0.21361671891417128,76
Zimbabwe,0.068535325159095,-0.9428517660541421,0.31631972120245394,-0.05240652375788564,0.9530798692459539,77
Tajikistan,0.06389370110632187,-1.1027736232582104,0.7229084852680496,-0.5775587301986016,1.2129986726140498,78
Canada,0.06232786387346734,1.5655373775509007,0.5031692468642807,0.10237500676195667,-1.9217701756832688,79
Maldives,0.0567714392188385,-0.013456649198164389,-0.28036403757374445,0.16228854522294375,0.3586178984243191,80
Sint Maarten (Dutch part),0.0549476560758026,0.9746778256087096,-0.6665048712117282,0.8586728487909691,-0.9470551788847401,81
Tanzania,0.05179356924233297,-0.680493200728438,0.3287924349868819,-0.6894679109608624,1.2483429536717503,82
Japan,0.049400814333569076,1.6433937135586834,0.46475488062345965,-0.8202425535881457,-1.090302783259721,83
Bulgaria,0.03784611363144594,0.02760863408491713,0.26321702868986036,0.6093820436891944,-0.7488232519381881,84
Burkina Faso,0.036332584794524725,-1.0625590806537544,-0.17551980032550313,0.1947657577539607,1.1886434624033957,85
Jamaica,0.03254378758661364,-0.06926748387188748,0.2297358427574323,-0.40270589802672335,0.37241268948763306,86
Antigua and Barbuda,0.03151753861190511,0.38232957710432114,-0.0032585154451506976,0.17795762522535447,-0.43095853243690446,87
Cuba,0.031422886128565565,0.08224939857720832,-0.2809956080276945,0.198967411844975,0.12547034211977348,88
"Gambia, The",0.024189967762159703,-0.9068875837190226,-0.27055551509590253,-0.44542304346841977,1.7196260133319836,89
Tonga,0.023720185282470607,0.09916427474726175,-0.308540725843075,-0.22071653402147196,0.5249737262471676,90
St. Lucia,0.022853285280713398,0.10174693226651961,-0.42301971607671923,-0.18710700708124262,0.5997929320142958,91
Faroe Islands,0.02167479417832771,-0.49840486063815476,-0.8145264454992481,0.5979426002741832,0.8016878825765305,92
"Yemen, Rep.",0.018522225211521637,-1.292542450877025,0.022747738476007084,-0.18238151518045753,1.526265128427562,93
Suriname,0.018098614934731833,-0.19876112502696658,0.9713959191029472,-0.1353865982460588,-0.5648537360909944,94
Uzbekistan,0.017365625000490742,-0.3680486749505188,-0.09464010298627296,0.8887971929809129,-0.35664591504215815,95
Sierra Leone,0.017206367970856395,-1.0040239242304096,-0.020817369050244505,-0.7054936226318144,1.7991603877958942,96
Bolivia,0.015574746513576654,-0.42655929735469034,0.5428844019041847,0.9320363650629354,-0.9860624835581231,97
Afghanistan,0.014702421264310372,-0.8295724545130911,-0.37398527123870334,-0.6107548793545712,1.873122290163607,98
Guinea,0.013734833226810544,-1.0845226835104909,0.11574845875935924,0.193890536246496,0.8298230214118778,99
Palau,0.01296147817691573,0.7471277053228254,0.6478269202552528,0.427620191170464,-1.7707289040408791,100
Mauritius,0.005634739562806053,0.5546130705446235,-0.4351867358832472,-0.1564622617839809,0.0595748853738288,101
Peru,0.003502311057811791,0.11417741985638538,0.42624005932317466,-0.961404072593242,0.4349958376449291,102
"Egypt, Arab Rep.",0.0009741631214701951,-0.47394155241426406,0.1874884888083671,0.00842150357876531,0.2819282125130124,103
Curacao,-0.005337036392879087,0.5776383551592915,-0.5201021653506177,0.15068583486686152,-0.22957017024705167,104
Rwanda,-0.006691953902118908,-0.8141897886405264,-0.5540497781807388,-0.5316505389508178,1.873122290163607,105
Belize,-0.010000532570288642,-0.1635064951514644,0.3288043593764091,-0.5311844904072998,0.32588449590120044,106
Thailand,-0.011616897862318037,0.2498428854425185,-0.7802755793942656,0.8806704672991165,-0.39670536479664154,107
St. Vincent and the Grenadines,-0.013951441451450303,-0.13355925171659352,-0.28479984985879625,-0.15240552803895857,0.5149588638085472,108
Ghana,-0.016088396894872736,-0.8382509749647855,-0.1636684921935027,-0.5745147744220795,1.5120806540008769,109
Eritrea,-0.017343385192266914,-1.1300248732584113,0.7765389190125455,-0.7137810425567587,0.9978934560335568,110
Mozambique,-0.017560908956329335,-0.8335704272242854,0.46142675184169424,-1.0627633980805586,1.3646634376378324,111
Zambia,-0.02042639207223948,-0.9400297742908177,0.6842439628335348,-0.6437794989880797,0.8178597421564047,112
Ethiopia,-0.02168389880866617,-0.8736650655977278,-0.20741626009263509,-0.32597174043057575,1.320317470886274,113
"Venezuela, RB",-0.02332622572416157,0.0227608609290616,0.6887903086789532,-0.18634293727755474,-0.6185131352271064,114
Cabo Verde,-0.02558383146113291,-0.34914395325081055,-0.9947601048012246,0.00931970144295291,1.2322490307645506,115
Qatar,-0.02751119425714085,0.3077994754980989,0.32591025225347975,-0.7377067117623857,-0.00604779301775636,116
Kenya,-0.029256938249100584,-0.7506651472936505,-0.3061291822722286,-0.2561639647289471,1.1959305412984238,117
Panama,-0.033892292506197894,0.08280856571101387,0.20904687557962767,-0.5024699262150694,0.07504531489963623,118
Namibia,-0.04187308855772041,-0.8800137802489829,0.7352453586607218,0.07267825559598226,-0.0954021882386028,119
Slovak Republic,-0.04413161139833999,0.595669169848862,0.14702628212137323,-0.1681774504541959,-0.7510444471093993,120
New Zealand,-0.048826534868976756,1.409006453010503,0.022778312302746906,0.1541204817263873,-1.7812113865155443,121
French Polynesia,-0.05018097154012957,0.48209469447834147,-1.4232819053198227,1.441823142960629,-0.7013598182796661,122
Nicaragua,-0.05504006643045703,-0.33356272462218467,0.0761912831875636,-0.445365000599669,0.48257617631246197,123
Jordan,-0.058434878902082654,0.27936554746392966,-0.35663928868452704,-0.6109068118648477,0.4544410374771145,124
Georgia,-0.06211022354337967,-0.23669887367976936,-0.026440006582583775,0.05324537161168717,-0.038547385522852744,125
Senegal,-0.07304599238529408,-0.8925527958335192,0.09441301881396694,-0.7148365324030832,1.2207923398814593,126
